Name,TeamName,nationality,price_cr,year
Robin Uthappa,Kolkata Knight Riders,Indian,5.0,2014
Piyush Chawla,Kolkata Knight Riders,Indian,4.25,2014
Yusuf Pathan,Kolkata Knight Riders,Indian,3.25,2014
Shakib Al Hasan,Kolkata Knight Riders,Overseas,2.8,2014
Morne Morkel,Kolkata Knight Riders,Overseas,2.8,2014
Ranganath Vinay Kumar,Kolkata Knight Riders,Indian,2.8,2014
Umesh Yadav,Kolkata Knight Riders,Indian,2.6,2014
Manish Pandey,Kolkata Knight Riders,Indian,1.7,2014
Chris Lynn,Kolkata Knight Riders,Overseas,1.3,2014
Patrick Cummins,Kolkata Knight Riders,Overseas,1.0,2014
Ryan Ten Doeschate,Kolkata Knight Riders,Overseas,1.0,2014
Suryakumar Yadav,Kolkata Knight Riders,Indian,0.7,2014
Andre Russell,Kolkata Knight Riders,Overseas,0.6,2014
Manvinder Bisla,Kolkata Knight Riders,Indian,0.6,2014
Veer Pratap Singh,Kolkata Knight Riders,Indian,0.4,2014
Kuldeep Singh Yadav,Kolkata Knight Riders,Indian,0.4,2014
Debabrata Das,Kolkata Knight Riders,Indian,0.2,2014
Sayan Sekhar Mandal,Kolkata Knight Riders,Indian,0.1,2014
Michael Hussey,Mumbai Indians,Overseas,5.0,2014
Corey Anderson,Mumbai Indians,Overseas,4.5,2014
Pragyan Ojha,Mumbai Indians,Indian,3.25,2014
Zaheer Khan,Mumbai Indians,Indian,2.6,2014
Aditya Tare,Mumbai Indians,Indian,1.6,2014
Jasprit Bumrah,Mumbai Indians,Indian,1.2,2014
Jalaj Saxena,Mumbai Indians,Indian,0.9,2014
Josh Hazlewood,Mumbai Indians,Overseas,0.5,2014
Marchant De Lange,Mumbai Indians,Overseas,0.3,2014
Krismar Santokie,Mumbai Indians,Overseas,0.3,2014
Ben Dunk,Mumbai Indians,Overseas,0.2,2014
C.M. Gautam,Mumbai Indians,Indian,0.2,2014
Apoorv Vijay Wankhade,Mumbai Indians,Indian,0.1,2014
Pawan Suyal,Mumbai Indians,Indian,0.1,2014
Sushant Marathe,Mumbai Indians,Indian,0.1,2014
Shreyas Gopal,Mumbai Indians,Indian,0.1,2014
Steven Smith,Rajasthan Royals,Overseas,4.0,2014
Brad Hodge,Rajasthan Royals,Overseas,2.4,2014
Rajat Bhatia,Rajasthan Royals,Indian,1.7,2014
Tim Southee,Rajasthan Royals,Overseas,1.2,2014
Dhawal Kulkarni,Rajasthan Royals,Indian,1.1,2014
Abhishek Nayar,Rajasthan Royals,Indian,1.0,2014
Kane Richardson,Rajasthan Royals,Overseas,1.0,2014
Ben Cutting,Rajasthan Royals,Overseas,0.8,2014
Karun Nair,Rajasthan Royals,Indian,0.75,2014
Unmukt Chand,Rajasthan Royals,Indian,0.65,2014
Iqbal Abdullah,Rajasthan Royals,Indian,0.65,2014
Deepak Hooda,Rajasthan Royals,Indian,0.4,2014
Dishant Yagnik,Rajasthan Royals,Indian,0.3,2014
Kevon Cooper,Rajasthan Royals,Overseas,0.3,2014
Vikramjeet Malik,Rajasthan Royals,Indian,0.2,2014
Ankit Nagendra Sharma,Rajasthan Royals,Indian,0.1,2014
Rahul Tewatia,Rajasthan Royals,Indian,0.1,2014
Ankush Bains,Rajasthan Royals,Indian,0.1,2014
Amit Mishra,Rajasthan Royals,Indian,0.1,2014
Pravin Tambe,Rajasthan Royals,Indian,0.1,2014
Yuvraj Singh,Royal Challengers Bangalore,Indian,14.0,2014
Mitchell Starc,Royal Challengers Bangalore,Overseas,5.0,2014
Albie Morkel,Royal Challengers Bangalore,Overseas,2.4,2014
Varun Aaron,Royal Challengers Bangalore,Indian,2.0,2014
Ashok Dinda,Royal Challengers Bangalore,Indian,1.5,2014
Parthiv Patel,Royal Challengers Bangalore,Indian,1.4,2014
Muttiah Muralitharan,Royal Challengers Bangalore,Overseas,1.0,2014
Ravi Rampaul,Royal Challengers Bangalore,Overseas,0.9,2014
Nic Maddinson,Royal Challengers Bangalore,Overseas,0.5,2014
Harshal Patel,Royal Challengers Bangalore,Indian,0.4,2014
Vijay Zol,Royal Challengers Bangalore,Indian,0.3,2014
Abu Nechim Ahmed,Royal Challengers Bangalore,Indian,0.3,2014
Sachin Rana,Royal Challengers Bangalore,Indian,0.2,2014
Shadab Jakati,Royal Challengers Bangalore,Indian,0.2,2014
Sandeep Warrier,Royal Challengers Bangalore,Indian,0.1,2014
Tanmay Mishra,Royal Challengers Bangalore,Indian,0.1,2014
Yogesh Takawale,Royal Challengers Bangalore,Indian,0.1,2014
Yuzvendra Singh Chahal,Royal Challengers Bangalore,Indian,0.1,2014
David Warner,Sunrisers Hyderabad,Overseas,5.5,2014
Bhuvneshwar Kumar,Sunrisers Hyderabad,Indian,4.25,2014
Aaron Finch,Sunrisers Hyderabad,Overseas,4.0,2014
Karn Sharma,Sunrisers Hyderabad,Indian,3.75,2014
Darren Sammy,Sunrisers Hyderabad,Overseas,3.5,2014
Ishant Sharma,Sunrisers Hyderabad,Indian,2.6,2014
Irfan Pathan,Sunrisers Hyderabad,Indian,2.4,2014
Moises Henriques,Sunrisers Hyderabad,Overseas,1.0,2014
KL Rahul,Sunrisers Hyderabad,Indian,1.0,2014
Parveez Rasool,Sunrisers Hyderabad,Indian,0.95,2014
Jason Holder,Sunrisers Hyderabad,Overseas,0.75,2014
Venugopal Rao,Sunrisers Hyderabad,Indian,0.55,2014
Naman Ojha,Sunrisers Hyderabad,Indian,0.5,2014
Brendan Taylor,Sunrisers Hyderabad,Overseas,0.3,2014
Prasanth Parameswaran,Sunrisers Hyderabad,Indian,0.3,2014
Amit Paunikar,Sunrisers Hyderabad,Indian,0.2,2014
Ashish Reddy,Sunrisers Hyderabad,Indian,0.2,2014
Srikkanth Anirudha,Sunrisers Hyderabad,Indian,0.2,2014
Ricky Bhui,Sunrisers Hyderabad,Indian,0.1,2014
Chama Milind,Sunrisers Hyderabad,Indian,0.1,2014
Manprit Juneja,Sunrisers Hyderabad,Indian,0.1,2014
Kedar Jadhav,Chennai Super Kings,Indian,7.8,2018
Dwayne Bravo,Chennai Super Kings,Overseas,6.4,2018
Karn Sharma,Chennai Super Kings,Indian,5.0,2018
Shane Watson,Chennai Super Kings,Overseas,4.0,2018
Shardul Narendra Thakur,Chennai Super Kings,Indian,2.6,2018
Ambati Rayudu,Chennai Super Kings,Indian,2.2,2018
Murali Vijay,Chennai Super Kings,Indian,2.0,2018
Harbhajan Singh,Chennai Super Kings,Indian,2.0,2018
Faf Du Plessis,Chennai Super Kings,Overseas,1.6,2018
Mark Wood,Chennai Super Kings,Overseas,1.5,2018
Sam Billings,Chennai Super Kings,Overseas,1.0,2018
Imran Tahir,Chennai Super Kings,Overseas,1.0,2018
Deepak Chahar,Chennai Super Kings,Indian,0.8,2018
Mitchell Santner,Chennai Super Kings,Overseas,0.5,2018
Lungisani Ngidi,Chennai Super Kings,Overseas,0.5,2018
Asif K M,Chennai Super Kings,Indian,0.4,2018
N Jagadeesan,Chennai Super Kings,Indian,0.2,2018
Kanishk Seth,Chennai Super Kings,Indian,0.2,2018
Monu Singh,Chennai Super Kings,Indian,0.2,2018
Dhruv Shorey,Chennai Super Kings,Indian,0.2,2018
Kshitiz Sharma,Chennai Super Kings,Indian,0.2,2018
Chaitanya Bishnoi,Chennai Super Kings,Indian,0.2,2018
Glenn Maxwell,Delhi Capitals,Overseas,9.0,2018
Kagiso Rabada,Delhi Capitals,Overseas,4.2,2018
Amit Mishra,Delhi Capitals,Indian,4.0,2018
Shahbaz Nadeem,Delhi Capitals,Indian,3.2,2018
Vijay Shankar,Delhi Capitals,Indian,3.2,2018
Rahul Tewatia,Delhi Capitals,Indian,3.0,2018
Mohammad Shami,Delhi Capitals,Indian,3.0,2018
Gautam Gambhir,Delhi Capitals,Indian,2.8,2018
Trent Boult,Delhi Capitals,Overseas,2.2,2018
Colin Munro,Delhi Capitals,Overseas,1.9,2018
Daniel Christian,Delhi Capitals,Overseas,1.5,2018
Jason Roy,Delhi Capitals,Overseas,1.5,2018
Naman Ojha,Delhi Capitals,Indian,1.4,2018
Prithvi Shaw,Delhi Capitals,Indian,1.2,2018
Gurkeerat Singh Mann,Delhi Capitals,Indian,0.75,2018
Avesh Khan,Delhi Capitals,Indian,0.7,2018
Abhishek Sharma,Delhi Capitals,Indian,0.55,2018
Jayant Yadav,Delhi Capitals,Indian,0.5,2018
Harshal Patel,Delhi Capitals,Indian,0.2,2018
Manjot Kalra,Delhi Capitals,Indian,0.2,2018
Sandeep Lamichhane,Delhi Capitals,Overseas,0.2,2018
Sayan Ghosh,Delhi Capitals,Indian,0.2,2018
KL Rahul,Punjab Kings,Indian,11.0,2018
Ravichandran Ashwin,Punjab Kings,Indian,7.6,2018
Andrew Tye,Punjab Kings,Overseas,7.2,2018
Aaron Finch,Punjab Kings,Overseas,6.2,2018
Marcus Stoinis,Punjab Kings,Overseas,6.2,2018
Karun Nair,Punjab Kings,Indian,5.6,2018
Mujeeb Zadran,Punjab Kings,Overseas,4.0,2018
Ankit Singh Rajpoot,Punjab Kings,Indian,3.0,2018
David Miller,Punjab Kings,Overseas,3.0,2018
Mohit Sharma,Punjab Kings,Indian,2.4,2018
Barinder Singh Sran,Punjab Kings,Indian,2.2,2018
Yuvraj Singh,Punjab Kings,Indian,2.0,2018
Christopher Gayle,Punjab Kings,Overseas,2.0,2018
Ben Dwarshuis,Punjab Kings,Overseas,1.4,2018
Akshdeep Nath,Punjab Kings,Indian,1.0,2018
Manoj Tiwary,Punjab Kings,Indian,1.0,2018
Mayank Agarwal,Punjab Kings,Indian,1.0,2018
Manzoor Dar,Punjab Kings,Indian,0.2,2018
Pardeep Sahu,Punjab Kings,Indian,0.2,2018
Mayank Dagar,Punjab Kings,Indian,0.2,2018
Chris Lynn,Kolkata Knight Riders,Overseas,9.6,2018
Mitchell Starc,Kolkata Knight Riders,Overseas,9.4,2018
Dinesh Karthik,Kolkata Knight Riders,Indian,7.4,2018
Robin Uthappa,Kolkata Knight Riders,Indian,6.4,2018
Kuldeep Singh Yadav,Kolkata Knight Riders,Indian,5.8,2018
Piyush Chawla,Kolkata Knight Riders,Indian,4.2,2018
Nitish Rana,Kolkata Knight Riders,Indian,3.4,2018
Kamlesh Nagarkoti,Kolkata Knight Riders,Indian,3.2,2018
Shivam Mavi,Kolkata Knight Riders,Indian,3.0,2018
Mitchell Johnson,Kolkata Knight Riders,Overseas,2.0,2018
Shubman Gill,Kolkata Knight Riders,Indian,1.8,2018
Ranganath Vinay Kumar,Kolkata Knight Riders,Indian,1.0,2018
Rinku Singh,Kolkata Knight Riders,Indian,0.8,2018
Cameron Delport,Kolkata Knight Riders,Overseas,0.3,2018
Javon Searless,Kolkata Knight Riders,Overseas,0.3,2018
Apoorv Vijay Wankhade,Kolkata Knight Riders,Indian,0.2,2018
Ishank Jaggi,Kolkata Knight Riders,Indian,0.2,2018
Krunal Pandya,Mumbai Indians,Indian,8.8,2018
Ishan Kishan,Mumbai Indians,Indian,6.2,2018
Kieron Pollard,Mumbai Indians,Overseas,5.4,2018
Pat Cummins,Mumbai Indians,Overseas,5.4,2018
Evin Lewis,Mumbai Indians,Overseas,3.8,2018
Suryakumar Yadav,Mumbai Indians,Indian,3.2,2018
Ben Cutting,Mumbai Indians,Overseas,2.2,2018
Mustafizur Rahman,Mumbai Indians,Overseas,2.2,2018
Rahul Chahar,Mumbai Indians,Indian,1.9,2018
Pradeep Sangwan,Mumbai Indians,Indian,1.5,2018
Jason Behrendorff,Mumbai Indians,Overseas,1.5,2018
Jean-Paul Duminy,Mumbai Indians,Overseas,1.0,2018
Saurabh Tiwary,Mumbai Indians,Indian,0.8,2018
Tajinder Dhillon,Mumbai Indians,Indian,0.55,2018
Akila Dhananjaya,Mumbai Indians,Overseas,0.5,2018
Nidheesh M D Dinesan,Mumbai Indians,Indian,0.2,2018
Aditya Tare,Mumbai Indians,Indian,0.2,2018
Siddhesh Dinesh Lad,Mumbai Indians,Indian,0.2,2018
Mayank Markande,Mumbai Indians,Indian,0.2,2018
Sharad Lumba ,Mumbai Indians,Indian,0.2,2018
Anukul Roy,Mumbai Indians,Indian,0.2,2018
Mohsin Khan,Mumbai Indians,Indian,0.2,2018
Benjamin Stokes,Rajasthan Royals,Overseas,12.5,2018
Jaydev Unadkat,Rajasthan Royals,Indian,11.5,2018
Sanju Samson,Rajasthan Royals,Indian,8.0,2018
Jofra Archer,Rajasthan Royals,Overseas,7.2,2018
Krishnappa Gowtham,Rajasthan Royals,Indian,6.2,2018
Jos Buttler,Rajasthan Royals,Overseas,4.4,2018
Ajinkya Rahane,Rajasthan Royals,Indian,4.0,2018
Darcy Short,Rajasthan Royals,Overseas,4.0,2018
Rahul Tripathi,Rajasthan Royals,Indian,3.4,2018
Dhawal Kulkarni,Rajasthan Royals,Indian,0.75,2018
Zahir Khan Pakteen,Rajasthan Royals,Overseas,0.6,2018
Ben Laughlin,Rajasthan Royals,Overseas,0.5,2018
Stuart Binny,Rajasthan Royals,Indian,0.5,2018
Dushmantha Chameera,Rajasthan Royals,Overseas,0.5,2018
Anureet Singh,Rajasthan Royals,Indian,0.3,2018
Aryaman Vikram Birla,Rajasthan Royals,Overseas,0.3,2018
Midhun S,Rajasthan Royals,Indian,0.2,2018
Shreyas Gopal,Rajasthan Royals,Indian,0.2,2018
Prashant Chopra,Rajasthan Royals,Indian,0.2,2018
Jatin Saxena,Rajasthan Royals,Indian,0.2,2018
Ankit Sharma,Rajasthan Royals,Indian,0.2,2018
Mahipal Lomror,Rajasthan Royals,Indian,0.2,2018
Chris Woakes,Royal Challengers Bangalore,Overseas,7.4,2018
Yuzvendra Singh Chahal,Royal Challengers Bangalore,Indian,6.0,2018
Umesh Yadav,Royal Challengers Bangalore,Indian,4.2,2018
Brendon McCullum,Royal Challengers Bangalore,Overseas,3.6,2018
M.S. Washington Sundar,Royal Challengers Bangalore,Overseas,3.2,2018
Navdeep Saini,Royal Challengers Bangalore,Indian,3.0,2018
Quinton De Kock,Royal Challengers Bangalore,Overseas,2.8,2018
Mohammed Siraj,Royal Challengers Bangalore,Indian,2.6,2018
Nathan Coulter-Nile,Royal Challengers Bangalore,Overseas,2.2,2018
Colin De Grandhomme,Royal Challengers Bangalore,Overseas,2.2,2018
M. Ashwin,Royal Challengers Bangalore,Overseas,2.2,2018
Parthiv Patel,Royal Challengers Bangalore,Indian,1.7,2018
Moeen Ali,Royal Challengers Bangalore,Overseas,1.7,2018
Mandeep Singh,Royal Challengers Bangalore,Indian,1.4,2018
Manan Vohra,Royal Challengers Bangalore,Indian,1.1,2018
Pawan Negi,Royal Challengers Bangalore,Indian,1.0,2018
Tim Southee,Royal Challengers Bangalore,Overseas,1.0,2018
Kulwant Khejroliya,Royal Challengers Bangalore,Indian,0.85,2018
Aniket Choudhary,Royal Challengers Bangalore,Indian,0.3,2018
Pavan Deshpande,Royal Challengers Bangalore,Indian,0.2,2018
Anirudha Ashok Joshi,Royal Challengers Bangalore,Indian,0.2,2018
Manish Pandey,Sunrisers Hyderabad,Indian,11.0,2018
Rashid Khan Arman,Sunrisers Hyderabad,Overseas,9.0,2018
Shikhar Dhawan,Sunrisers Hyderabad,Indian,5.2,2018
Wriddhiman Saha,Sunrisers Hyderabad,Indian,5.0,2018
Siddarth Kaul,Sunrisers Hyderabad,Indian,3.8,2018
Deepak Hooda,Sunrisers Hyderabad,Indian,3.6,2018
Syed Khaleel Ahmed,Sunrisers Hyderabad,Overseas,3.0,2018
Sandeep Sharma,Sunrisers Hyderabad,Indian,3.0,2018
Kane Williamson,Sunrisers Hyderabad,Overseas,3.0,2018
Carlos Brathwaite,Sunrisers Hyderabad,Overseas,2.0,2018
Shakib Al Hasan,Sunrisers Hyderabad,Overseas,2.0,2018
Yusuf Pathan,Sunrisers Hyderabad,Indian,1.9,2018
Shreevats Goswami,Sunrisers Hyderabad,Indian,1.0,2018
Mohammad Nabi,Sunrisers Hyderabad,Overseas,1.0,2018
Chris Jordan,Sunrisers Hyderabad,Overseas,1.0,2018
Basil Thampi,Sunrisers Hyderabad,Indian,0.95,2018
Billy Stanlake,Sunrisers Hyderabad,Overseas,0.5,2018
T Natarajan,Sunrisers Hyderabad,Indian,0.4,2018
Sachin Baby,Sunrisers Hyderabad,Indian,0.2,2018
Bipul Sharma,Sunrisers Hyderabad,Indian,0.2,2018
Syed Mehdi Hasan,Sunrisers Hyderabad,Overseas,0.2,2018
Ricky Bhui,Sunrisers Hyderabad,Indian,0.2,2018
Tanmay Agarwal,Sunrisers Hyderabad,Indian,0.2,2018
Robin Uthappa ,Chennai Super Kings,Indian,2.0,2022
Dwayne Bravo ,Chennai Super Kings,Overseas,4.4,2022
Ambati Rayudu ,Chennai Super Kings,Indian,6.75,2022
Deepak Chahar ,Chennai Super Kings,Indian,14.0,2022
C.Hari Nishaanth ,Chennai Super Kings,Indian,0.2,2022
N. Jagadeesan ,Chennai Super Kings,Indian,0.2,2022
K.M. Asif ,Chennai Super Kings,Indian,0.2,2022
Tushar Deshpande ,Chennai Super Kings,Indian,0.2,2022
Shivam Dube ,Chennai Super Kings,Indian,4.0,2022
Chris Jordan ,Chennai Super Kings,Overseas,3.6,2022
Maheesh Theekshana ,Chennai Super Kings,Overseas,0.7,2022
Rajvardhan Hangargekar ,Chennai Super Kings,Indian,1.5,2022
Simarjeet Singh ,Chennai Super Kings,Indian,0.2,2022
Devon Conway ,Chennai Super Kings,Overseas,1.0,2022
Dwaine Pretorius ,Chennai Super Kings,Overseas,0.5,2022
Mitchell Santner ,Chennai Super Kings,Overseas,1.9,2022
Adam Milne ,Chennai Super Kings,Overseas,1.9,2022
Subhranshu Senapati ,Chennai Super Kings,Indian,0.2,2022
Mukesh Choudhary ,Chennai Super Kings,Indian,0.2,2022
Prashant Solanki ,Chennai Super Kings,Indian,1.2,2022
K.Bhagath Varma ,Chennai Super Kings,Indian,0.2,2022
David Warner ,Delhi Capitals,Overseas,6.25,2022
Mitchell Marsh ,Delhi Capitals,Overseas,6.5,2022
Mustafizur Rahman ,Delhi Capitals,Overseas,2.0,2022
Shardul Thakur ,Delhi Capitals,Indian,10.75,2022
Kuldeep Yadav ,Delhi Capitals,Indian,2.0,2022
Ashwin Hebbar ,Delhi Capitals,Indian,0.2,2022
Sarfaraz Khan ,Delhi Capitals,Indian,0.2,2022
Kamlesh Nagarkoti ,Delhi Capitals,Indian,1.1,2022
K.S. Bharat ,Delhi Capitals,Indian,2.0,2022
Mandeep Singh ,Delhi Capitals,Indian,1.1,2022
Syed Khaleel Ahmed ,Delhi Capitals,Indian,5.25,2022
Lungisani Ngidi ,Delhi Capitals,Overseas,0.5,2022
Chetan Sakariya ,Delhi Capitals,Indian,4.2,2022
Yash Dhull ,Delhi Capitals,Indian,0.5,2022
Vicky Ostwal ,Delhi Capitals,Indian,0.2,2022
Ripal Patel ,Delhi Capitals,Indian,0.2,2022
Lalit Yadav ,Delhi Capitals,Indian,0.65,2022
Rovman Powell ,Delhi Capitals,Overseas,2.8,2022
Tim Seifert ,Delhi Capitals,Overseas,0.5,2022
Pravin Dubey ,Delhi Capitals,Indian,0.5,2022
Mohammad Shami ,Gujarat Titans,Indian,6.25,2022
David Miller ,Gujarat Titans,Overseas,3.0,2022
Jason Roy  ,Gujarat Titans,Overseas,2.0,2022
Wriddhiman  Saha ,Gujarat Titans,Indian,1.9,2022
Matthew Wade ,Gujarat Titans,Overseas,2.4,2022
Lockie Ferguson ,Gujarat Titans,Overseas,10.0,2022
Abhinav Sadarangani ,Gujarat Titans,Indian,2.6,2022
Rahul Tewatia ,Gujarat Titans,Indian,9.0,2022
Noor  Ahmad ,Gujarat Titans,Overseas,0.3,2022
R. Sai Kishore ,Gujarat Titans,Indian,3.0,2022
Dominic Drakes ,Gujarat Titans,Overseas,1.1,2022
Vijay Shankar ,Gujarat Titans,Indian,1.4,2022
Jayant Yadav ,Gujarat Titans,Indian,1.7,2022
Darshan Nalkande ,Gujarat Titans,Indian,0.2,2022
Yash  Dayal ,Gujarat Titans,Indian,3.2,2022
B. Sai Sudharsan ,Gujarat Titans,Indian,0.2,2022
Gurkeerat Singh ,Gujarat Titans,Indian,0.5,2022
Alzarri Joseph ,Gujarat Titans,Overseas,2.4,2022
Varun Aaron ,Gujarat Titans,Indian,0.5,2022
Pradeep Sangwan ,Gujarat Titans,Indian,0.2,2022
Pat Cummins ,Kolkata Knight Riders,Overseas,7.25,2022
Shreyas Iyer ,Kolkata Knight Riders,Indian,12.25,2022
Mohammad  Nabi ,Kolkata Knight Riders,Overseas,1.0,2022
Nitish Rana ,Kolkata Knight Riders,Indian,8.0,2022
Sam Billings  ,Kolkata Knight Riders,Overseas,2.0,2022
Umesh Yadav ,Kolkata Knight Riders,Indian,2.0,2022
Shivam  Mavi ,Kolkata Knight Riders,Indian,7.25,2022
Sheldon Jackson ,Kolkata Knight Riders,Indian,0.6,2022
Ajinkya Rahane ,Kolkata Knight Riders,Indian,1.0,2022
Rinku Singh ,Kolkata Knight Riders,Indian,0.55,2022
Anukul Roy ,Kolkata Knight Riders,Indian,0.2,2022
Alex Hales  ,Kolkata Knight Riders,Overseas,1.5,2022
Rasikh Dar ,Kolkata Knight Riders,Indian,0.2,2022
Tim Southee ,Kolkata Knight Riders,Overseas,1.5,2022
Baba Indrajith ,Kolkata Knight Riders,Indian,0.2,2022
Chamika Karunaratne ,Kolkata Knight Riders,Overseas,0.5,2022
Abhijeet Tomar ,Kolkata Knight Riders,Indian,0.4,2022
Aman Khan ,Kolkata Knight Riders,Indian,0.2,2022
Ramesh Kumar ,Kolkata Knight Riders,Indian,0.2,2022
Pratham Singh ,Kolkata Knight Riders,Indian,0.2,2022
Ashok Sharma ,Kolkata Knight Riders,Indian,0.55,2022
Quinton De Kock ,Lucknow Super Giants,Overseas,6.75,2022
Manish Pandey ,Lucknow Super Giants,Indian,4.6,2022
Krunal Pandya ,Lucknow Super Giants,Indian,8.25,2022
Mark Wood ,Lucknow Super Giants,Overseas,7.5,2022
Avesh Khan ,Lucknow Super Giants,Indian,10.0,2022
Ankit Singh Rajpoot ,Lucknow Super Giants,Indian,0.5,2022
K. Gowtham ,Lucknow Super Giants,Indian,0.9,2022
Dushmanta Chameera ,Lucknow Super Giants,Overseas,2.0,2022
Shahbaz Nadeem ,Lucknow Super Giants,Indian,0.5,2022
Manan Vohra ,Lucknow Super Giants,Indian,0.2,2022
Evin Lewis ,Lucknow Super Giants,Overseas,2.0,2022
Mohsin Khan ,Lucknow Super Giants,Indian,0.2,2022
Mayank Yadav ,Lucknow Super Giants,Indian,0.2,2022
Ayush Badoni ,Lucknow Super Giants,Indian,0.2,2022
Kyle Mayers ,Lucknow Super Giants,Overseas,0.5,2022
Karan Sharma ,Lucknow Super Giants,Indian,0.2,2022
Jason Holder ,Lucknow Super Giants,Overseas,8.75,2022
Deepak Hooda ,Lucknow Super Giants,Indian,5.75,2022
Ishan Kishan ,Mumbai Indians,Indian,15.25,2022
Dewald Brevis ,Mumbai Indians,Overseas,3.0,2022
Anmolpreet Singh ,Mumbai Indians,Indian,0.2,2022
Basil Thampi ,Mumbai Indians,Indian,0.3,2022
Murugan Ashwin ,Mumbai Indians,Indian,1.6,2022
Jaydev Unadkat ,Mumbai Indians,Indian,1.3,2022
Mayank Markande ,Mumbai Indians,Indian,0.65,2022
N. Tilak Varma ,Mumbai Indians,Indian,1.7,2022
Sanjay Yadav ,Mumbai Indians,Indian,0.5,2022
Jofra Archer ,Mumbai Indians,Overseas,8.0,2022
Daniel Sams ,Mumbai Indians,Overseas,2.6,2022
Tymal Mills ,Mumbai Indians,Overseas,1.5,2022
Tim David ,Mumbai Indians,Overseas,8.25,2022
Ramandeep  Singh ,Mumbai Indians,Indian,0.2,2022
Aryan Juyal ,Mumbai Indians,Indian,0.2,2022
Fabian Allen ,Mumbai Indians,Overseas,0.75,2022
Riley Meredith ,Mumbai Indians,Overseas,1.0,2022
Rahul Buddhi ,Mumbai Indians,Indian,0.2,2022
Hrithik Shokeen ,Mumbai Indians,Indian,0.2,2022
Mohd. Arshad Khan ,Mumbai Indians,Indian,0.2,2022
