Player,Nationality
DP Vijaykumar,Indian
DPMD Jayawardene,Overseas
DR Martyn,Overseas
DR Sams,Overseas
DR Shorey,Indian
DR Smith,Overseas
DS Kulkarni,Indian
DS Lehmann,Overseas
DS Rathi,Indian
DT Christian,Overseas
DT Patil,Indian
DW Steyn,Overseas
E Lewis,Overseas
EJG Morgan,Overseas
ER Dwivedi,Indian
F Behardien,Overseas
F du Plessis,Overseas
FA Allen,Overseas
Fazalhaq Farooqi,Overseas
FH Edwards,Overseas
FY Fazal,Indian
G Coetzee,Overseas
G Gambhir,Indian
GB Hogg,Overseas
GC Smith,Overseas
GC Viljoen,Overseas
GD McGrath,Overseas
GD Phillips,Overseas
GH Vihari,Indian
GHS Garton,Overseas
GJ Bailey,Overseas
GJ Maxwell,Overseas
GR Napier,Overseas
Gulbadin Naib,Overseas
Gurkeerat Singh,Indian
H Das,Indian
H Klaasen,Overseas
Harbhajan Singh,Indian
Harmeet Singh,Indian
Harpreet Brar,Indian
Harpreet Singh,Indian
Harshit Rana,Indian
HC Brook,Overseas
HE van der Dussen,Overseas
HF Gurney,Overseas
HH Gibbs,Overseas
HH Pandya,Indian
HM Amla,Overseas
HR Shokeen,Indian
HV Patel,Indian
I Malhotra,Indian
I Sharma,Indian
I Udana,Overseas
IC Pandey,Indian
IK Pathan,Indian
Imran Tahir,Overseas
Iqbal Abdulla,Indian
IR Jaggi,Indian
IS Sodhi,Overseas
Ishan Kishan,Indian
J Arunkumar,Indian
J Botha,Overseas
J Fraser-McGurk,Overseas
J Overton,Overseas
J Suchith,Indian
J Syed Mohammad,Indian
J Theron,Overseas
J Yadav,Indian
JA Morkel,Overseas
JA Richardson,Overseas
Jaskaran Singh,Indian
JC Archer,Overseas
JC Buttler,Overseas
JD Ryder,Overseas
JD Unadkat,Indian
JDP Oram,Overseas
JDS Neesham,Overseas
JE Root,Overseas
JE Taylor,Overseas
JEC Franklin,Overseas
JG Bethell,Overseas
JH Kallis,Overseas
JJ Bumrah,Indian
JJ Roy,Overseas
JJ van der Wath,Overseas
JL Denly,Overseas
JL Pattinson,Overseas
JM Bairstow,Overseas
JM Kemp,Overseas
JM Sharma,Indian
JO Holder,Overseas
Joginder Sharma,Indian
JP Behrendorff,Overseas
JP Duminy,Overseas
JP Faulkner,Overseas
JP Inglis,Overseas
JPR Scantlebury-Searles,Overseas
JR Hazlewood,Overseas
JR Hopes,Overseas
JR Philippe,Overseas
K Goel,Indian
K Gowtham,Indian
K Kartikeya,Indian
K Rabada,Overseas
K Upadhyay,Indian
K Yadav,Indian
KA Jamieson,Overseas
KA Maharaj,Overseas
KA Pollard,Overseas
KAJ Roach,Overseas
Kamran Akmal,Overseas
Kamran Khan,Indian
Karanveer Singh,Indian
Kartik Tyagi,Indian
KB Arun Karthik,Indian
KC Cariappa,Indian
KC Sangakkara,Overseas
KD Karthik,Indian
KH Pandya,Indian
KJ Abbott,Overseas
KK Ahmed,Indian
KK Cooper,Overseas
KK Nair,Indian
KL Nagarkoti,Indian
KL Rahul,Indian
KM Asif,Indian
KM Jadhav,Indian
KMA Paul,Overseas
KMDN Kulasekara,Overseas
KP Appanna,Indian
KP Pietersen,Overseas
KR Mayers,Overseas
KR Sen,Indian
KS Bharat,Indian
KS Rathore,Indian
KS Sharma,Indian
KS Williamson,Overseas
KT Maphaka,Overseas
Kuldeep Yadav,Indian
Kumar Kushagra,Indian
KV Sharma,Indian
KW Richardson,Overseas
L Ablish,Indian
L Balaji,Indian
L Ngidi,Overseas
L Ronchi,Overseas
L Wood,Overseas
LA Carseldine,Overseas
LA Pomersbach,Indian
Lalit Yadav,Indian
LB Williams,Overseas
LE Plunkett,Overseas
LH Ferguson,Overseas
Liton Das,Overseas
LJ Wright,Overseas
LMP Simmons,Overseas
LPC Silva,Overseas
LR Shukla,Indian
LRPL Taylor,Overseas
LS Livingstone,Overseas
M Ashwin,Indian
M de Lange,Overseas
M Jansen,Overseas
M Kaif,Indian
M Kartik,Indian
M Klinger,Overseas
M Manhas,Indian
M Markande,Indian
M Morkel,Overseas
M Muralitharan,Overseas
M Ntini,Overseas
M Prasidh Krishna,Indian
M Rawat,Indian
M Shahrukh Khan,Indian
M Theekshana,Overseas
M Tiwari,Indian
M Vijay,Indian
M Vohra,Indian
MA Agarwal,Indian
MA Khote,Indian
MA Starc,Overseas
MA Wood,Overseas
Mandeep Singh,Indian
Mashrafe Mortaza,Overseas
Mayank Dagar,Indian
MC Henriques,Overseas
MC Juneja,Indian
MD Mishra,Indian
MD Shanaka,Overseas
MDKJ Perera,Overseas
MEK Hussey,Overseas
MF Maharoof,Overseas
MG Bracewell,Overseas
MG Johnson,Overseas
Misbah-ul-Haq,Overseas
MJ Clarke,Overseas
MJ Guptill,Overseas
MJ Lumb,Overseas
MJ McClenaghan,Overseas
MJ Owen,Overseas
MJ Santner,Overseas
MJ Suthar,Indian
MK Lomror,Indian
MK Pandey,Indian
MK Tiwary,Indian
ML Hayden,Overseas
MM Ali,Overseas
MM Patel,Indian
MM Sharma,Indian
MN Samuels,Overseas
MN van Wyk,Indian
Mohammad Ashraful,Overseas
Mohammad Asif,Overseas
Mohammad Hafeez,Overseas
Mohammad Nabi,Overseas
Mohammed Shami,Indian
Mohammed Siraj,Indian
Mohit Rathee,Indian
Mohsin Khan,Indian
MP Breetzke,Overseas
MP Stoinis,Overseas
MR Marsh,Overseas
MS Bhandage,Indian
MS Bisla,Indian
MS Dhoni,Indian
MS Gony,Indian
MS Wade,Overseas
Mujeeb Ur Rahman,Overseas
Mukesh Choudhary,Indian
Mukesh Kumar,Indian
Musheer Khan,Indian
Mustafizur Rahman,Overseas
MV Boucher,Overseas
MW Short,Overseas
N Jagadeesan,Indian
N Pooran,Overseas
N Rana,Indian
N Saini,Indian
N Wadhera,Indian
Naman Dhir,Indian
Navdeep Saini,Indian
Naveen-ul-Haq,Overseas
ND Doshi,Indian
Nithish Kumar Reddy,Indian
NJ Maddinson,Overseas
NJ Rimmington,Overseas
NK Patel,Indian
NL McCullum,Overseas
NLTC Perera,Overseas
NM Coulter-Nile,Overseas
Noor Ahmad,Overseas
NS Naik,Indian
NT Ellis,Overseas
NV Ojha,Indian
OA Shah,Overseas
OC McCoy,Overseas
OF Smith,Overseas
P Awana,Indian
P Chopra,Indian
P Dogra,Indian
P Dubey,Indian
P Kumar,Indian
P Negi,Indian
P Parameswaran,Indian
P Ray Barman,Indian
P Sahu,Indian
P Simran Singh,Indian
PA Patel,Indian
PA Reddy,Indian
Pankaj Singh,Indian
Parvez Rasool,Indian
PBB Rajapaksa,Overseas
PC Valthaty,Indian
PD Collingwood,Overseas
PD Salt,Overseas
PHKD Mendis,Overseas
PJ Cummins,Overseas
PJ Sangwan,Indian
PK Garg,Indian
PM Sarvesh Kumar,Indian
PN Mankad,Indian
PP Chawla,Indian
PP Ojha,Indian
PP Shaw,Indian
PR Shah,Indian
Prince Yadav,Indian
Priyansh Arya,Indian
PSP Handscomb,Overseas
PV Tambe,Indian
PVD Chameera,Overseas
PVSN Raju,Indian
PWA Mulder,Overseas
PWH de Silva,Overseas
Q de Kock,Overseas
R Ashwin,Indian
R Bhatia,Indian
R Bishnoi,Indian
R Dhawan,Indian
R Dravid,Indian
R McLaren,Overseas
R Minz,Indian
R Ninan,Indian
R Parag,Indian
R Powell,Overseas
R Rampaul,Overseas
R Sanjay Yadav,Indian
R Sathish,Indian
R Sharma,Indian
R Shepherd,Overseas
R Shukla,Indian
R Tewatia,Indian
R Vinay Kumar,Indian
RA Bawa,Indian
RA Jadeja,Indian
RA Tripathi,Indian
Rahmanullah Gurbaz,Overseas
Ramandeep Singh,Indian
Rashid Khan,Overseas
Rasikh Salam,Indian
Ravi Bishnoi,Indian
RD Chahar,Indian
RD Gaikwad,Indian
RD Rickelton,Overseas
RE Levi,Overseas
RE van der Merwe,Overseas
RG More,Indian
RG Sharma,Indian
RJ Gleeson,Overseas
RJ Harris,Overseas
RJ Peterson,Overseas
RJ Quiney,Overseas
RJW Topley,Overseas
RK Bhui,Indian
RK Singh,Indian
RM Patidar,Indian
RN ten Doeschate,Overseas
RP Meredith,Overseas
RP Singh,Indian
RR Bhatkal,Indian
RR Pant,Indian
RR Powar,Indian
RR Raje,Indian
RR Rossouw,Overseas
RR Sarwan,Overseas
RS Bopara,Overseas
RS Gavaskar,Indian
RS Sodhi,Indian
RT Ponting,Overseas
RV Gomez,Indian
RV Patel,Indian
RV Uthappa,Indian
S Anirudha,Indian
S Aravind,Indian
S Badree,Overseas
S Badrinath,Indian
S Chanderpaul,Overseas
S Dhawan,Indian
S Dube,Indian
S Gopal,Indian
S Kaul,Indian
S Kaushik,Indian
S Ladda,Indian
S Lamichhane,Overseas
S Nadeem,Indian
S Narwal,Indian
S Rana,Indian
S Randiv,Overseas
S Sohal,Indian
S Sreesanth,Indian
S Sriram,Indian
S Tyagi,Indian
S Vidyut,Indian
SA Abbott,Overseas
SA Asnodkar,Indian
SA Yadav,Indian
Sachin Baby,Indian
Salman Butt,Overseas
Sameer Rizvi,Indian
Sandeep Sharma,Indian
Sanvir Singh,Indian
Saurav Chauhan,Indian
SB Bangar,Indian
SB Dubey,Indian
SB Jakati,Indian
SB Joshi,Indian
SB Styris,Overseas
SB Wagh,Indian
SC Ganguly,Indian
SD Chitnis,Indian
SD Hope,Overseas
SD Lad,Indian
SE Bond,Overseas
SE Marsh,Overseas
SE Rutherford,Overseas
Sediqullah Atal,Overseas
SH Johnson,Overseas
Shahbaz Ahmed,Indian
Shahid Afridi,Overseas
Shakib Al Hasan,Overseas
Shashank Singh,Indian
Shivam Mavi,Indian
Shivam Sharma,Indian
Shivam Singh,Indian
Shoaib Ahmed,Indian
Shoaib Akhtar,Overseas
Shoaib Malik,Overseas
Shubman Gill,Indian
Sikandar Raza,Overseas
Simarjeet Singh,Indian
SJ Srivastava,Indian
SK Raina,Indian
SK Rasheed,Indian
SK Trivedi,Indian
SK Warne,Overseas
SL Malinga,Overseas
SM Curran,Overseas
SM Harwood,Overseas
SM Katich,Overseas
SM Pollock,Overseas
SMSM Senanayake,Overseas
SN Khan,Indian
SN Thakur,Indian
SO Hetmyer,Overseas
Sohail Tanvir,Overseas
SP Fleming,Overseas
SP Goswami,Indian
SP Jackson,Overseas
SP Narine,Overseas
SPD Smith,Overseas
SR Tendulkar,Indian
SR Watson,Overseas
SS Cottrell,Overseas
SS Iyer,Indian
SS Prabhudessai,Indian
SS Shaikh,Indian
SS Tiwary,Indian
ST Jayasuriya,Overseas
STR Binny,Indian
Sumit Kumar,Indian
Sunny Gupta,Indian
Sunny Singh,Indian
Suryansh Shedge,Indian
SV Samson,Indian
SW Billings,Overseas
SW Tait,Overseas
Swapnil Singh,Indian
SZ Mulani,Indian
T Banton,Overseas
T Henderson,Overseas
T Kohler-Cadmore,Overseas
T Kohli,Indian
T Natarajan,Indian
T Shamsi,Overseas
T Stubbs,Overseas
T Taibu,Overseas
T Thushara,Overseas
TA Boult,Overseas
Tanush Kotian,Indian
TD Paine,Overseas
TG Southee,Overseas
TH David,Overseas
Tilak Varma,Indian
TK Curran,Overseas
TL Seifert,Overseas
TL Suman,Indian
TM Dilshan,Overseas
TM Head,Overseas
TM Srivastava,Indian
TR Birt,Overseas
TS Mills,Overseas
TU Deshpande,Indian
U Kaul,Indian
UA Birla,Indian
UBT Chand,Indian
Umar Gul,Overseas
Umran Malik,Indian
Urvil Patel,Indian
UT Khawaja,Overseas
UT Yadav,Indian
V Kohli,Indian
V Nigam,Indian
V Pratap Singh,Indian
V Sehwag,Indian
V Shankar,Indian
V Suryavanshi,Indian
V Viyaskanth,Overseas
VG Arora,Indian
VH Zol,Indian
Vijaykumar Vyshak,Indian
Virat Singh,Indian
Vishnu Vinod,Indian
Vivrant Sharma,Indian
VR Aaron,Indian
VR Iyer,Indian
VRV Singh,Indian
VS Malik,Indian
VS Yeligati,Indian
VVS Laxman,Indian
VY Mahesh,Indian
W Jaffer,Indian
WA Mota,Indian
Washington Sundar,Indian
WD Parnell,Overseas
WG Jacks,Overseas
WP Saha,Indian
WPUJC Vaas,Overseas
X Thalaivan Sargunam,Indian
XC Bartlett,Overseas
Y Gnaneswara Rao,Indian
Y Nagar,Indian
Y Prithvi Raj,Indian
Y Venugopal Rao,Indian
YA Abdulla,Overseas
Yash Dayal,Indian
Yashpal Singh,Indian
YBK Jaiswal,Indian
YK Pathan,Indian
Younis Khan,Overseas
YS Chahal,Indian
Yudhvir Singh,Indian
Yuvraj Singh,Indian
YV Dhull,Indian
YV Takawale,Indian
Z Khan,Indian
